label,article
1,"President Ferdinand Marcos, Jr. said Monday that his political party, the Partido Federal ng Pilipinas (PFP), has become a formidable force in public service. The President, in a statement made more than a month after the May 12 midterm polls, said the PFP members are now “agents of meaningful growth and progress in the country.” “I convey my most heartfelt greetings to my fellow members of the Partido Federal ng Pilipinas. Thank you all for your continued support, unwavering commitment, and solidarity in uplifting the lives of Filipinos. I am truly proud of what we have accomplished in the past years. Because of our concerted efforts, we have become a formidable force in public service,” he said in a video message. “This is proof that our vision and everything we stand for as a movement and as a party resonate loudly with our people. That is why we must continue to sustain the party's brand of governance that Filipinos have come to expect from us and make sure that our actions are transparent, effective, and responsive to the needs of our citizens,” Marcos added. He then called on his party mates to serve their terms with renewed vigor and strength towards realizing Bagong Pilipinas “where every individual is empowered with greater opportunities.” “Let us commit ourselves to a higher level of excellent leadership and be the visionaries, the trailblazers, and changemakers that society calls for and deserves,” he said. In the May elections, PFP fielded three Senate bets but all of them lost: former Senator and Filipino boxing Hall of Famer Manny Pacquiao, Senator Francis Tolentino and former Secretary Benhur Abalos of the Department of Interior and Local Government. —LDF, GMA Integrated News"
1,"Some Cabinet secretaries have expressed their sentiments regarding the pronouncement of President Ferdinand ""Bongbong"" Marcos Jr. that the public is disappointed with the services provided by the government. Labor Secretary Bienvenido Laguesma told GMA News Online that the Department of Labor and Employment (DOLE) would ensure the prompt and proper delivery of services to the public. Laguesma added that the agency agrees with the statement that Filipinos are already tired of too much politics. ""The DOLE is in full support of the President's remark that the Filipinos are indeed tired of too much politics that caused division and polarization in our country which has affected the speedy recovery of our economy,"" Laguesma said. ""For our part, DOLE further commits to enhance prompt and proper delivery of services and make our programs accessible to our constituencies particularly the workers,"" he added. Tourism Secretary Christina Frasco, for her part, said the Department of Tourism (DOT) holds firm to the principle that public service must rise above politics, saying that its foremost duty is to serve with integrity and compassion. ""In the face of adversity—both at home and abroad—we remain resolute in advancing programs that uplift lives: by supporting communities, enhancing infrastructure, building local capacities, and sustaining the recovery of our tourism sector,"" Frasco said in a message. Frasco also said the DOT stands united in the country's mission ""to create meaningful employment, empower the countryside, and position the Philippines as a model of inclusive, resilient, and sustainable tourism."" Meanwhile, Budget Secretary Amenah Pangandaman said the Department of Budget and Management (DBM) wholeheartedly fulfills its duties for the nation. She backed the President in emphasizing the importance of prioritizing the people, doing what is right, and ensuring that meaningful and timely services are delivered to Filipinos. ""Inspired by the President's reflections on the 2025 midterm elections, we remain committed to learning from one another and transforming our national goals into tangible actions that reach and uplift every Filipino we are privileged to serve,"" Pangandaman said. Secretary Rex Gatchalian of the Department of Social Welfare and Development said the agency would speed up the delivery of services.''DSWD will double its efforts in making sure that anti-poverty and anti-hunger programs are rolled out faster to make impactful gains in the lives of the Filipino people,'' Gatchalian said in a message. In a podcast with broadcaster Anthony Taberna, Marcos said he has two conclusions in the Eleksyon 2025—the people are tired of politics and they are disappointed with the government. Marcos said, ""Disappointed ang tao sa serbisyo ng gobyerno. Hindi nila nararamdaman at masyadong mabagal ang galaw nang pagbubuo ng mga project na hindi pa nila maramdaman."" (The public is disappointed with government services. They say they do not feel the impact of these services and that projects move toward completion too slowly.) Marcos said elected officials should focus on their duties and do what needs to be done for the welfare of the public. — VDV/VBL, GMA Integrated News For more Eleksyon 2025 related content and updates, visit GMA News Online's Eleksyon 2025 microsite."
1,"President Ferdinand ''Bongbong'' Marcos Jr. on Monday said he has two conclusions in the Eleksyon 2025 —the people are tired of politics and they are disappointed with the government. ''Una, nagsawa na ang Pilipino sa pulitika. Sawang-sawa na sa pulitika. Ang mensahe, sa amin lahat – hindi lamang sa akin, kung hindi sa aming lahat – tama na ‘yung pamumulitika ninyo at kami naman ang asikasuhin ninyo,'' Marcos said in a podcast with broadcaster Anthony Taberna. Marcos then said elected officials should focus on their duties and do what needs to be done for the welfare of the public. ''Iyong pangalawa, disappointed ang tao sa serbisyo ng gobyerno. Hindi nila nararamdaman at masyadong mabagal ang galaw nang pagbubuo ng mga project na hindi pa nila maramdaman,'' Marcos said. Over the weekend, Marcos reflected on the results of the 2025 midterm elections, saying that he wished for better results. Of the 12 newly elected senators, six were endorsed by Marcos under the Alyansa Para Sa Bagong Pilipinas. They are Senators-elect Erwin Tulfo, Panfilo “Ping” Lacson, Vicente “Tito” Sotto III, Pia Cayetano, Camille Villar, and Lito Lapid.—LDF, GMA Integrated News For more Eleksyon 2025 related content and updates, visit GMA News Online's Eleksyon 2025 microsite."
1,"VIENTIANE - ''I always thought that we were but maybe I was deceived.'' This was the response of President Ferdinand ''Bongbong'' Marcos Jr. when asked for his reaction to Vice President Sara Duterte's remark that they had never been friends. Speaking to the Philippine media delegation, Marcos admitted that he was a little dismayed by the Vice President's statement. “I don’t know anymore. I’m not quite sure I understand. I’m a little dismayed to hear that she doesn’t think that we are friends,” Marcos said. Duterte earlier said that she was never friends with Marcos, even though she was the President's running mate in Eleksyon 2022. Duterte, however, said she has close ties with the President’s sister, Senator Imee Marcos. In April of this year, First Lady Louise ''Liza'' Araneta-Marcos also admitted having ill feelings towards the Vice President after the latter’s family made drug accusations against her husband. Duterte was appointed Department of Education (DepEd) secretary on June 30, 2022 but resigned in June this year. Despite her resignation, she had said that she and Marcos ""are still friendly with each other on a personal level.""The Vice President previously said her resignation from DepEd was made in consideration of the department's best interest, particularly that of teachers. However, it was recently revealed that it was because of Speaker Martin Romualdez and House Committee on Appropriations chair Rep. Elizaldy Co ""controlling"" national budget allocations.—LDF, GMA Integrated News"
1,"Vice President Sara Duterte met with her predecessor, former Vice President Leni Robredo, in the latter's residence in Naga City.The information was disclosed by Robredo's spokesperson Barry Gutierrez.""Former VP Leni Robredo was in Naga for the Penafrancia Festival. While she was there, VP Sara Duterte visited her at her house,"" Gutierrez said.According to Gutierrez, the conversation during Duterte's visit was ""personal and not political.""""VP Leni was informed of the visit only minutes before when she was told that VP Sara was already on the way. The visit lasted for about an hour,"" he added.The Dutertes, particularly former President Rodrigo Duterte, are staunch critics of the opposition Liberal Party, which Robredo previously headed. 'Neither looked desperate nor distressed' In a statement, the Office of the Vice President (OVP) said Duterte was invited by a Bicolano friend to attend the centennial anniversary Mass of the Canonical Coronation of Our Lady of Peñafrancia on Friday.""The same friend also arranged a casual meeting with former Vice President Leni Robredo,"" the statement read.""During her stay in Naga, Vice President Duterte visited several prominent Bicol personalities and heard Mass with ordinary Bicolanos. She neither looked desperate nor distressed,"" it added. —LDF/VBL, GMA Integrated News"
1,"Vice President Sara Duterte on Tuesday said efforts of the members of the House of Representatives plotting her impeachment are documented. “As a friend, I will not violate the confidence of a few members of the House of Representatives who have either recorded conversations or participated in shared conversations regarding each impeachment proceedings against me. Nonetheless, this is nothing new,” Duterte said during her opening statement before the House committee on appropriations deliberations on the OVP’s proposed P2 billion budget for 2025. She said that a member of the House already declared in an interview that “in light of the possible numerous violations of the OVP on the use of the P125 million confidential funds which is not in the 2022 General Appropriations Act, we are not discounting the fact that it may file an impeachment case.” This quote about impeachment efforts against her, the Vice President said, was published in a daily newspaper. “Talks on impeachment have been ongoing for several weeks. Surprisingly, despite the absence of proof as to any wrongdoing, she already revealed the grounds for impeachment when she was also quoted as saying especially on the misuse of public funds, technical malversation, and violation of the 1987 Constitution,” Duterte added. Duterte served as the running mate of former Senator Ferdinand Marcos Jr. in the 2022 presidential polls under a ticket dubbed as Uniteam. Cracks in the alliance, however, started to reveal amid alleged political and policy differences. In May 2023, Duterte resigned from Lakas-CMD party as its chairperson and a member, saying that she won’t be able to serve the country amid ""political toxicity“ or undermined by ""execrable political powerplay."" She did not drop names, but Lakas-CMD’s president and Duterte’s 2022 campaign manager is Speaker Martin Romualdez, cousin of Marcos. In June this year, Duterte resigned as Education Secretary ""out of concern for teachers and students."" The Marcos administration was also seen reversing his predecessor Rodrigo Duterte's policies such as the war on drugs and South China Sea. —LDF, GMA Integrated News"
1,"Vice President Sara Duterte expressed her sentiments on Saturday after an ally referred to her as the new leader of the opposition following her departure from President Ferdinand Marcos Jr.'s administration. “Sa trabaho ko at sa pagkatao ko at sa prinsipyo ko, hindi ako gumagalaw for the administration, for the opposition, or kung anuman ‘yang political na ‘yan. Ang galaw ko ay base sa kung ano ‘yung makakatulong sa ating mga kababayan, at kung ano ‘yung karapat-dapat,” Duterte said in an ambush interview in Cebu City on the sidelines of the Pasidungog awards for partners of the OVP in the implementation of various programs. (I don't move for the administration, opposition, or any other political cause in my work, character, or principles. My actions are guided by what will benefit our fellow citizens and what is right.) Duterte said she is currently focused on the 30-day transition plan for all the strands in the Department of Education Central Office and the projects and activities of the Office of the Vice President. ''Sa politics, wala,'' she said. (For politics, there is none.) Former presidential spokesperson Harry Roque earlier claimed that Duterte is now the leader of the opposition after the supposed breakup of the Marcos-Duterte alliance in light of her resignation as DepEd secretary and vice chairperson of the National Task Force to End Local Communist Armed Conflict (NTF-ELCAC). Speaker Martin Romualdez, however, said Duterte should be the one making the announcement about her political plans. “I guess we'll have to just hear it from the VP if and when the time comes for her to make statements or to make any policy or statements on policies of the national government,” Romualdez said in a press conference on Monday. Meanwhile, Albay Representative Edcel Lagman said the Liberal Party is still the ""genuine opposition.” Former president Duterte, sons preparing for 2025 elections In the same interview, Duterte reiterated that her father, former President Rodrigo Duterte, and her two brothers are all planning to run for the Senate in the 2025 midterm elections. ""Ah yes sa pagkakaalam ko, kung kakausapin ko ang grupo ni former President Duterte, sabi nila handa silang tumakbo, at kung kakausapin ko rin ang mas nakakatanda kong kapatid na lalake na si Pulong Duterte sabi rin niya handa rin siyang tumakbo bilang senador. At kung kausapin ko rin ang mga tao na nakapalibot sa aking nakababatang kapatid, si Baste, nasasabi rin nila na handa rin sila o naghahanda sila na tumakbo pagka senador,"" Sara said in Cebuano. (Ah yes, as far as I know, if I talk to the group of former President Duterte, they say they are ready to run, and if I talk to my older brother, (Paolo) Pulong Duterte, he also says he is ready to run for senator. And if I talk to the people around my younger brother (Sebastian) Baste, they also say they are also ready or they are preparing him to run for senator.) Twelve seats will be available in the Senate next year. Duterte said that her mother advised her to go back to Davao City to run again as mayor. Previously asked if she would resign as Vice President as well, Duterte said, “Walang ganon na usapan (There are no talks about that).” —VBL, GMA Integrated News"
1,"Senator Robin Padilla on Thursday said that his party-mate and former President Rodrigo Duterte is not against President Ferdinand Marcos, Jr. despite past tirades. “Una po si mayor (President Duterte) ang aming...pagdating sa partido, siya ang aming supreme leader. Definitely, nasa kanya ang support ng lahat ng PDP. Ang nangyaring annual meeting at endorsement ng tatakbong senador, nag-speech si mayor, ang sabi ni mayor ayaw niya ng gulo,” Padilla said, referring to Duterte’s speech which he delivered during the PDP anniversary event in Cebu last April 19. (The former President is the party's supreme leader and we had an annual meeting, endorsement of Senate bets for 2025. He gave a speech and he said he does not want chaos.) “Ayaw niya ng makipag-away. Gusto lang niya maging maayos sila PBBM (President Bongbong Marcos). Sabi niya, siya ay nakasuporta at naniniwala siyang si PBBM di involved sa katiwalian. Kaya kumbaga doon kami nakatindig, ang PDP,” Padilla added. (He does not want to pick a fight and wishes the President well, that he supports him and the President is not involved in corruption. That is where the party stands.) Padilla made the response to the query if he shares the sentiment of his fellow PDP party members who have expressed support for the incumbent president.  PDP is headed by Duterte. Duterte earlier called Marcos “bangag” or high on illegal drugs, alleged that the President is after a term extension, and branded him a ""crybaby"" for allegedly always seeking out United States’ aid amid Chinese aggression in the West Philippine Sea. During his April 19 speech, Duterte said he does not harbor ill feelings toward Marcos and that he has not heard of reports linking the president to corruption. “Si Marcos, in fairness, walang halong galit, walang halong pulitika. Wala akong naririnig na siya ay involved sa corruption,” the former leader said. “Antayin na lang natin. One term lang naman. Huwag na natin awayin,” Duterte said. (Let’s just wait. It is just one term anyway. Let’s not pick a fight.) Marcos had said that his relationship with the Duterte family is complicated but did not elaborate.—LDF, GMA Integrated News"
1,"An alleged plan to oust President Juan Miguel Zubiri from his position was an attempt to discredit the upper house, senators said on Monday. Over the weekend, there were speculations that several senators had signed a resolution seeking to replace Zubiri as Senate president. Members of the majority bloc denied any such attempt. Among them were Senate Majority Leader Joel Villanueva, Senate President Pro Tempore Loren Legarda, Senators Imee Marcos, Nancy Binay, Grace Poe, JV Ejercito, Sonny Angara, Francis Tolentino, Ronald dela Rosa, Sherwin Gatchalian, and Jinggoy Estrada. In an ambush interview, Zubiri said he had heard of the alleged plot last week. ""I serve at the pleasure of my colleagues. I am extremely honored to serve at the pleasure of my colleagues. Ganon na lang naman yan. I leave it to the wisdom of my majority,"" Zubiri said. As to where these speculations originated, Zubiri said, ""Alam mo naman, there is a concerted effort to discredit the Senate. Nalaman ko pa 'yan last week pa."" The Senate President said he had been talking with his colleagues, adding that other senators were unaware of such a plot. In a separate ambush interview, Villanueva said the senators were ""solidly behind"" Zubiri and questioned the timing of the soc-called speculations. Ejercito shared the same view, adding that there were  ""divide and conquer"" moves against the Senate. Villanueva and Ejercito said it would be difficult to replace Zubiri at this point, and they could not see anyone else taking his place as Senate president. — DVM, GMA Integrated News"
1,"Sinabi ni Senador Bong Go na hinikayat ni dating Pangulo at ngayo'y House Deputy Speaker Gloria Macapagal-Arroyo na maging aktibo muli sa pulitika si dating Pangulong Rodrigo Duterte. Inihayag ito ng senador makaraan siyang mag-post sa Facebook ng mga larawan mula sa “informal” meeting nitong weekend nina Arroyo, Duterte, dating Senate President Vicente Sotto III, at dating Executive Secretary Salvador Medialdea. “Isang simpleng kamustahan at masayang pagkikita ang nangyari kasama ang mga pinunong naglingkod sa bayan sa iba’t ibang posisyon o kapasidad noong mga nakaraang administrasyon. Nagbalik-tanaw sila sa mga panahong nagkasama sila sa gobyerno,” ayon sa caption ni Go. “Sa nasabing pagkikita, kinukumbinsi din ni dating pangulong Arroyo si dating pangulong Duterte na maging aktibo muli sa pulitika,” dagdag ng senador. Ayon kay Go, inimbitahan ni Arroyo si Duterte sa isang “informal” meeting sa pamamagitan ng isa nitong tauhan. Nataon umano na nasa Maynila si Duterte. “Inanyayahan ni dating pangulong Gloria Arroyo, sa pamamagitan ng kanilang mga staff, sa isang impormal na pagkikita si dating pangulong Rodrigo Duterte na nasa Maynila noong panahong iyon.  Nagkataong magkasama kami ni Tatay Digong noon matapos ko siyang samahan sa kanyang medical checkup sa hospital, gaya ng dati kong ginagawa sa kanya,” saad ni Go, na dating personal aide ni Duterte. “[D]ahil bihira lang naman na pumunta sa Maynila sa ngayon si dating pangulong Duterte, sumabay na rin sa pagkikitang iyon, sa tulong ni dating executive secretary Salvador Medialdea, si dating Senate president Tito Sotto na gusto ring makamusta ng personal ang kanyang itinuturing na kaibigan na si Tatay Digong,” paliwanag pa niya. Sinusubukan pa ng GMA News Online na makuhanan ng pahayag ang kampo ni Arroyo tungkol sa naturang pagkikita nila ni Duterte. Bukod kina Duterte at Sotto, nakasalamuha rin ni Arroyo sa isang pang pagtitipon si dating Vice President Leni Robredo. Sa inilabas na pahayag ni Arroyo, sinabi niya nagkasama sila ni Robredo sa isang “social dinner,” na kasama rin ang mutual friends nila mula sa Bicol. ""We chatted about Bicol politics,” anang dating pangulo. — FRJ, GMA Integrated New"
