label,article
1,"HINDI lang ito panukalang batas. Isa itong matapang na pani­nindigan laban sa sistemang matagal nang sumasakal sa demokrasya ng Pilipinas. Ang pagsusulong ni Sen. Robin Padilla ng Resolution of Both Houses No. 9 ay tila isang ma­tulis na sibat na ngayon pa lamang ay binabatikos na ng mga naghaharing angkan na ayaw pakawalan ang kapangyarihan. Isang katotohanan na halos hindi na maitatanggi, 70 per­cent ng mga mambabatas ay mula sa mga pamilyang pulitikal. Sa bawat halalan, iisa ang apelyidong paulit-ulit. Palit-palit lang ng puwesto: mayor ngayon, governor bukas, congress­man sa susunod, tapos asawa o anak ang susunod sa trono. Ang ipinapanukalang amyenda sa Konstitusyon ay simpleng prinsipyo ng katarungan: Ang pamahalaan ay hindi dapat maging family corporation. Ang serbisyo publiko ay para sa lahat ng mamamayan hindi lamang para sa mga pamilyang may pangalan, yaman, at impluwensiya. Hindi ito laban sa mga taong may kakayahan na nagka­taong kamag-anak ng mga opisyal. Ito ay laban sa sistemang ginawang negosyo ang pulitika. Kapag pinayagan nating ma­mayagpag ang dinastiyang pulitikal, hinahayaan nating ma­bulok ang haligi ng demokrasya: ang pantay-pantay na pagkakataon para sa bawat Pilipino. Kung ang intensyon ni Padilla ay tunay at walang bahid ng pansariling interes, ito ay isang hakbang na dapat purihin. Ngunit hindi rin dapat tayo bulag. Ang mga ganitong panu­kala ay hindi magtatagumpay kung walang tunay na suporta mula sa taumbayan. Ang problema ay hindi lang batas kundi ang kultura ng takot at pagkakampi-kampi na nakaugat sa pulitika. Kailangan nating gisingin ang bayan sa katotohanang ang kapangyarihang hindi napapalitan ay kapangyarihang inaabuso. Kung hindi natin sisimulan ngayon, kailan pa? DISKLAYMER:  Ang opinyong ito ay isinulat para sa layuning pampubliko, pang-edukasyon, at pampulitika. Hindi ito direktang iniuugnay o iniaakusa sa sinumang partikular na tao o opisyal. Lahat ng pangalan o termino ay ginamit bilang bahagi ng lehitimong komentaryo batay sa mga pampublikong ulat. Ang layunin ng manunulat ay makapag-ambag sa malayang talakayan bilang bahagi ng konstitusyonal na karapatan sa malayang pamamahayag. Ang sinumang nais tumutol, mariing inaanyayahan sa bukas na talakayan."
1,"The journey to excellence is long and winding, cultivated through a combination of knowledge, honed skills, and extensive training. Achieving mastery requires dedication and a commitment to continuous learning, and so for some who have attained high levels of expertise for they have invested significant time and effort into their craft. They are professionals who have consistently worked to refine their abilities. Their journey reflects a persistent pursuit of improvement and a willingness to embrace challenges. The culmination of this journey is the attainment of experience and proficiency. But how can excellence be of great essence? We always uphold excellence as a core value, believing it to be the key to standing out from others. It is through excellence that we distinguish ourselves and demonstrate our commitment to quality. Our pursuit of high standards acts as a magnet, attracting others seeking knowledge and support. By consistently striving for excellence, we inspire trust and confidence within our community. This dedication not only elevates our work but also encourages others to follow our example. Excellence is the foundation that strengthens our reputation and fosters a culture of continuous improvement. Our legislators, more specifically, some of them have graduated from reputable academic institutions and have established their names in politics and public service. These achievements reflect their dedication and expertise, yet true value of excellence is often tested in moments of challenge. When such times arise, it is honor that truly sets them apart and defines their character. Honor acts as the distinguishing mark that elevates a person's integrity beyond skills and accomplishments. It is in these decisive moments that the true strength of their leadership is revealed. While excellence commands recognition, it is honor that cements one’s legacy. Excellence may bring accolades and praise in the moment, but honor ensures that one's deeds are remembered with respect and integrity over time. Honor reflects the moral character and principles that guide actions, giving lasting meaning to achievements. It is through honor that individuals earn the trust and admiration of others beyond mere success. A legacy built on both excellence and honor endures, inspiring future generations to uphold the same values. It is indeed frustrating to recognize that when someone is truly excellent but fails to use that talent for the good of others, their abilities become meaningless. Excellence without purpose or moral integrity can lead to wasted potential and missed opportunities for positive impact. True value lies not only in personal achievement but also in how one contributes to the well-being of others. When excellence is directed towards self-serving motives instead of service, its significance diminishes greatly. It is the responsible and altruistic use of one’s gifts that gives excellence its true purpose and lasting meaning. The fusion of excellence and honor represents the pinnacle of human endeavor. It underscores not just the pursuit of exceptional results, but also the unwavering commitment to ethical conduct in their attainment. To strive for peak performance while maintaining integrity is not merely a strategy; it's a testament to character and a path to enduring success."
1,"Comes now the triumvirate of Bam, Kiko and Risa in the Senate, backed up by the likes of Leni Robredo, Leila de Lima and Chel Diokno, Vico Sotto of Pasig, Joy Belmonte of QC, Benjie Magalong of Baguio, Kaka Bag-ao of Dinagat and, yes, of course, Pam Baricuatro of Cebu. Then let's scout for a few stout-hearted men and women, here and there, all coming together?  Should we not look at them as our new hopes for the Philippines in 2028, and onward? Our new knights in shining armors fighting like Don Quixote de la Mancha, aided by Sancho Panchas. I look at my former UST law student, Congressman Lorenz Defensor of Iloilo, so young, so idealistic and so unfettered by corruption and ineptitude. This nation should now be sick and tired of trapos and dynasties. The people have already rejected the likes of Cynthia Villar and Gwen Garcia. The voters have already said a big “No” to such characters as Willy Revillame and Manny Pacquiao, Bong Revilla and Philip Salvador. Good job. Let us maximize the force of momentum. We should explore the best options. Let us look for the new versions of Raul Manglapus and Ninoy Aquino and usher in a new political renaissance. Why should we, Filipinos, be compelled to choose only between Marcos and Duterte? Why are we limiting our options? Led by the youth and the middle class idealists, the civil society and the business sector, the church and the NGOs, should we not be seeing the emergence of a new ""breath of fresh air inside a catacomb of stench and decay""? Should we not start to contemplate Risa, Bam and Kiko? Imagine a government after 2028 led by these conscientious officials. To the untarnished names of senators Risa Hontiveros, Bam Aquino and Kiko Pangilinan, let us add the names of Leni Robredo, Leila de Lima, Chel Diokno and Vico Sotto and Baguio City Mayor Benjamin Magalong. They can get the support of Koko Pimentel who lost his congressional bid in Marikina. I hope they can recruit from Cebu such shining names as Samsam Gullas of the first district, Gungun Gica of the seventh district and Shun Shimura of the fourth district and the incoming Cebu Governor, Pam Baricuatro, as well as Cebu City Mayor Nestor Archival. There are many others, like Sol Aragones of Laguna and Daniel Fernando in Bulacan. The nation should not be compelled to choose only between two undesirable extreme choices: the BBM-led inept, ineffective and underperforming administration, on the one hand, and the Duterte-led group of highly questionable characters with tarnished reputation, tainted with the impeachment of the vice president and the human rights records of the past president. It is high time to look at a third and better option, with track record of excellent performance, unimpeachable character and proven pro-people, pro-poor advocacies. They are not members of family dynasties. They are the best for the people. The Senate is about to witness a skirmish between on one side, the Malacanang-allied, team led by incumbent Senate President Chiz Escudero, who should be collaborating with incoming senator and former senate president Tito Sotto and Ping Lacson, and on the other side, the Duterte team composed of Senators Bong Go, Bato de la Rosa, Rodante Marcoleta, Imee Marcos, Camille Villar in addition to Robinhood Padilla. Based on their pronouncements, the Duterte team will most probably be joined by the Cayetano siblings: senators Alan Peter and Pia, and also Senator Mark Villar. That means 10 for the Dutertes. The Escudero-Sotto alliance should court Loren Legarda and the Estrada/Ejercito brothers, Migz Zubiri, as well as the Tulfo brothers, Grace Poe, Joel Villanueva and Win Gatchalian. The Senate is becoming a family affair: Villar siblings, Cayetano brother and sister, Estrada/Ejercito half-brothers, and the Tulfos. It would appear from the looks of it that the Dutertes have a better chance to capture the Senate presidency. That means the impeachment of VP Sara is a lost cause for the BBM administration. The debacles that the BBM Senate slate suffered in the last midterm polls will make it difficult for Chiz to retain his seat and for Tito Sen to win that seat if he does not play games with the Duterte team. The third force composed of Senators Risa, Bam and Kiko will play a crucial role and I think this triumvirate will most probably either inhibit or join the team of Chiz and Tito rather than join Robinhood Padilla and Rodante Marcoleta. These three should get major concessions from the incoming Senate president by cornering the Blue Ribbon Committee and a membership of the Appropriations Committee, Commission on Appointments, Senate Electoral Tribunal and the Judicial and Bar Council which plays a vital role in the appointment of Justices, judges, the Ombudsman and the Constitutional Commissions. As a concerned member of civil society and of the press, I would love to see either Risa or Bam running for president in 2028, or Kiko and Leni again. I would be very happy if and when in 2028, the Filipino voters shall not be limited to the choice between Martin Romualdez and Sara Duterte with Raffy Tulfo as a dark horse. I would much prefer that the team of Bam/Risa/Kiko, augmented by Leni, Leila and Chel would give the traditional candidates a credible run for their money. And if their campaign should go well, they can even win the presidency. I think that the third force should be able to galvanize the youth votes. Considering that more than two-thirds of the electorate belongs to the age bracket of 18 to 40, the third force should consider the Gen Zs, the millennials and the other younger voters. This team should organize student symposia, link with school organizations and fraternities, sororities and student councils. This group should inherit the constituencies of the late senator Miriam Defensor Santiago. There is a student power and a youth power which only need younger leaders like Bam, Kiko and Risa to federate them. This nation has a better future away from Marcos and from the Dutertes. We need this third force which is still imbued with idealism and with an untarnished sense of decency, dignity and integrity. Let us push this momentum to greater heights and save our nation from the trapos schemes and machinations towards ultimate disaster and perdition. We can, we should and we will."
1,"MAY nagtanong sa akin: “Ano ang solusyon sa mga sulira­ning pulitikal ng ating bansa?” Sa pananaw ninyo, may ka­lutasan pa nga ba ang krisis pampulitikang dinaranas natin? Or has the situation become a vicious cycle na paikut-ikot na lang at walang katapusan? Sa bawat nagdaang administrasyon, naharap tayo sa sari-saring krisis ngunit wala na marahil titindi pa sa dinaranas natin ngayon. Bangayan ng dalawang malakas na puwersa sa pulitika. Wala akong nakikitang solusyon mula sa lohika at pana­naw ng tao, ngunit mayroon ang Diyos. Iyan ay kung haha­yaan natin Siya na mamagitan. Kaya lang, lubha nang nag­kawatak-watak ang kaisipan ng tao. Bawat isa ay may pina­niniwalaang solusyon sa suliranin at hindi sila ubrang magkaisa. Ang makasariling interes at kasakiman ng tao ay huma­hadlang sa Diyos na mamagitan. Natatakot ang lahat na mawalan ng pakinabang kung susunod tayo sa nais ng Diyos. Kung tutuusin, puwede namang ipatupad ng Diyos ang kanyang solusyon ngunit iginagalang Niya ang mala­yang kaisipan o free will ng tao. Hindi siya hahadlang sa ating mga desisyon ngunit haharapin natin ang konsekwensiya ng bawat maling pasya natin. Sa katunayan, pinagbabayaran ang mga maling desis­yong nagawa natin na resulta ng paglisan natin sa liwanag­ ng Diyos, at ang pinakamasama ay darating pa. Iyan ay kung hindi tayo magbabalik loob at yuyukod sa kalooban ng Panginoon."
1,"MAPAGKUMBABANG inamin ni President Bongbong Marcos na malaki ang naging pagkukulang niya kaya inilampaso ng mga kalaban ang mga kandidato ng Alyansa ng Bagong Pilipinas sa nakaraang eleksiyon. Akala kasi alkansya! Nagsawa na rin ang mamamayan sa lantarang pagkabulok sa sistema ng pulitika na manipulado ng mga pamilya ng ­mayayamang nambababoy sa pamumuhay ng mahihirap na pilipino. Ayaw sa reporma, pagnanakaw lang ang kursunada! Hindi mapasubalian na kaya ibinotong muli sa senado sina Tito Sotto, Ping Lacson, Kiko Pangilinan at Bam Aquino ay dahil nagtrabaho talaga sila ng totoo at wala silang record ng pandarambong sa kaban ng bayan. Lagot ang mga tamad at may record ng pandarambong na mga reelectionists sa 2028 kung ganun. Action Stars no more? Patunay din na pinagsasawaan na ng taumbayan ang barubalan sa social media na pakawala ng magkabilang kampo ng pulitika at itinuring na lamang na komedya at aliwan ng mga nababagot na mamamayan. Totoo naman ang komentaryo ng ilan, maliban lang sa nagmumula sa troll farms. Araykupu! Malamang na sa 2028 Presidential election ay hindi na magiging mahirap para sa mga botante ang pagpili ng susunod na Presidente. Ang may bahid ng pandarambong ay maari na ring mag-isip ng pagpapahinga. Kung marunong mahiya at may konsensiya! Handa rin daw makipagkasundo si Bongbong kay VP Sara sa kabila ng pagbabanta nito sa buhay niya at kanyang pamilya at impeachment proceedings sa Senado alang-alang sa ikabubuti ng buong bansa. Aba’y kakaiba nga si Bongbong talaga! Sa pamilya ng pulitikong nagmamaniobra ng party-list para manaid sa pondo ng bayan, lalong dumami ang palamuning sectoral representative “raw” sa kongreso. Tantanan na ninyo kaming nakalupasay na sa paghihirap. Baka magbara na ang daloy ng dugo sa inyong mga ugat dahil sa panghaharbat. Abolish party-lists, please!"
1,"CEBU, Philippines —  In a press conference yesterday, some residents of Dalaguete Town denied that the cases they filed against incumbent and reelectionist Mayor Ronald Allan Cesante were politically motivated, but said these are based on facts and evidence. The complainants urged the mayor to face the seven charges lodged against him, but not the town itself, devoid of any politics. “Miawhag kami ni Mayor Ronald Allan Cesante nga hunungon na ang pagpamakak ug pag pangilad sa mga Dalaguitnon. Atubangon niya ang mga kaso ug dili apilon ang pagpamolitika nini,” said the complainants. The complainants who signed their unified statement are Joname Ensenales, Mengred Ensenales Gegremosa, Jose Rene Moran, Ildebrando Almagro, Braulio Moran, and Mario Jacento. “Palihug usab pag-undang o hunong sa paggamit sa munisipyo tungod kay wala kini atraso dinhi kanamo. Ang tanang kaso nga imong giatubang personal nimo nga binuhatan ug dili sa munisipyo tungod sa interest o kaayuhan og dili sa lungsod,” the complainants added. Atty. Joey Borinaga, the lawyer of the complainants reiterated that there is nothing political about the cases they filed against the mayor since these were filed long before the campaign season. The seven cases filed by the complainants were for the approval utilization and construction of a warehouse on a privately-owned land despite having no deed of absolute sale and or authority from the owner, construction of a project, entitled construction of pre-fabricated warehouse, improper and lawful use of the resources and manpower of the municipality in connection with a project award by the DPWH to a private contractor, improper and unlawful use of the resources and manpower of the municipality in connection with a project awarded a private contractor which resulted in the death of one of the municipal job-order employee, among others. Earlier, Cesante said that the complainants are trying to paint a picture where the LGU is performing the job of DPWH. “That is a lie. The truth is, LGU Dalaguete has a project complete with proper documentation in the form of road concreting in the area. It is in segmented form due to funding concerns. DPWH also has a separate project connecting both roads. There is no overlap that occurred here. All appropriate documents and evidence including proper receipts are available for the public,” the mayor earlier said. (CEBU NEWS)"
1,"Confession is good for the soul. I heard these words as an opening statement from a politician, now retired, during a non-political forum many years ago. Former congressman Eduardo Rivera Gullas, addressing a graduation ceremony of the University of the Visayas College of Law, proceeded to speak how confession frees the conscience of a man of his guilt. Absolution, in a manner of speaking, restores man’s spirit freed from condemnation. Believe me, I thought Sir Eddiegul, in his exposition, was more of a bishop than a lawmaker. Well, maybe because he was then in his last term as a legislator after decades of government service. After his introductory line in that commencement exercise, the university president, shifted gears. He confessed not being a perfect leader but he wove profound principles and real governance in a stirring speech. Gullas explained to the graduating class the importance of serving the government with the strictest adherence to scruples. “Principled politics”, he called it as he praised his membership of the Nacionalista Party. He said politicians must adopt and uphold uncompromising principles in everything they do. Political ideals of elected leaders in government must NOT be wrapped in selfish interests. After all, public office is a public trust. I remember the sterling words of Sir Eddiegul when I saw, the other night, a disturbing political advertisement of senatorial candidate Camille Villar. I like to believe that the political clout of the Villar political dynasty was a reason Camille was included in BBM’s original lineup. She is the daughter of 2010 presidential candidate Manny Villar. Her mother, Senator Cynthia authored the regressive Rice Tariffication Law while brother Mark, after heading the DPWH, became senator too. No doubt, hers is s formidable political clout which BBM can rely on. To be sure, Villar was supposedly a part of the Alyansa Para Sa Bagong Pilipinas line up of BBM arrayed against the PDP of former president Rodrigo Duterte. The Nacionalista Party with Manny Villar, as its president, aligned with Alyansa. Camille was then announced a proxy of BBM in his war against Digong. By itself, the business empire of the Villars that makes the political family the richest in the country and the herculean network they have can support Camille’s electoral undertaking sans outside help. Yet they took the opportunity for Camille to ride on the imagined political strength of the administration. In fact, shouting “Alyansa 12-0” in the proclamation rally in Ilocos Norte, the president’s drumbeaters wanted to project that it would demolish the entire PDP. A political video the other day projected the unprincipled character of Camille. Without telling us, the voters, why she unceremoniously abandoned BBM’s Alyansa, she just flipped over to Duterte’s PDP. I was shocked to see her showing a clenched fist upon being endorsed in her candidacy by Vice President Sara Duterte Carpio. It was turncoatism at its worst. I surmise she is only after her selfish interest. When she saw in the nationwide rallies held during the birthday of former president Duterte the emergence of Digong supporters, she discarded whatever reasons bolted NP and Alyansa and became friendly with the enemy. I couldn’t imagine VP Sara ever inviting Camille to join PDP. The vice president had no reason to do that. She would not want to disrespect the principles of PDP by bringing in someone who was earlier perceived as a BBM diehard. Anyway, her PDP senatoriables were doing well in the campaign trail as a result of the growing nationwide sympathy for Digong. Having viewed the situation that way, I could only conclude that it was the Villars who proposed Camille jump over to PDP and for no other motivation than to preserve her fading candidacy. I know that Sir Eddiegul has, since 1969, been an adherent of the principles of Nacionalista Party. So, I also believe that he considers the switch of Camille to the opposite camp as an act of betrayal."
1,"MANILA, Philippines — Naging sandigan ng seguridad ng bansa si National Security Adviser Secretary Eduardo Año sa panahong hinaharap ng bansa ang samu’t saring banta mula sa tensyon sa pagitan ng China at Taiwan at maniobra sa local politics. Ayon sa National Task Force to End Local Communist Armed Conflict (NTF-ELCAC), bilang dating pinuno ng Hukbong Sandatahan ng Pilipinas at dating kalihim ng Department of the Interior and Local Government (DILG), dala ni Año ang malawak na karanasan sa larangan ng seguridad, intelihensiya, at pamumuno. Dala rin niya ang isang matatag na paninindigang inuuna ang kapakanan ng taumbayan at ng Republika, sa halip na pansariling interes o pulitikal na alyansa. Epektibong isinulong ni Año ang whole-of-nation approach upang mapanatili ang kalayaan at soberanya ng Pilipinas—habang iniiwasan ang direktang pagkakasangkot sa digmaan. Sa kanyang liderato, pinagtitibay ang ugnayan sa mga kaalyadong bansa at pinaigting ang moder­nisasyon ng seguridad sa ilalim ng panibagong national security policy."
1,"In the battle for public opinion especially in politics, part of the arsenal of astute politicians and their handlers is to “play the victim card”. In the Philippines, we have seen how government officials/politicians suddenly get sick, get medical certificates, or request for hospital detention when summoned or arrest is imminent. Sudden rise in blood pressure, blood sugar, and excessive stress are cited as reasons, as if these are not pre-existing conditions of most Filipinos. Some even wear neck braces and use wheelchairs. Playing the victim card (PTVC) is so well used in human behavior that it is now in Google and Wikipedia. Artificial Intelligence defines playing the victim as portraying one-self as wronged and unfairly treated, often to gain sympathy, avoid responsibility, or manipulate others, essentially exaggerating or fabricating victimhood. Google further explains that it involves presenting oneself as a victim, even when not truly wronged, to achieve a specific outcome or avoid accountability. In the International Criminal Court (ICC) arrest of Duterte, the initial pro-Duterte narrative and lingering now, is to play the victim card. In the videos of the arrest in the airport and in Camp Villamor, Bong Go and other supporters expressed explicit concern about Duterte’s health and his advanced age. There were also allegations of lack medical attention/facilities, lack of food, and mistreatment of the family. These were all refuted and the videos contradicted these assertions. It was a policewoman who was hurt by Duterte’s wife. The airport arrest, the departure by private jet to the Netherlands, and his arrival treatment in The Hague were all pleasant as covered by the media and shown in the videos. VP Sara even thanked the Philippine Embassy in the Netherlands for their services, and Duterte was examined in a hospital and declared physically and mentally fit before proceeding to the ICC detention facilities. The pictures of the ICC detention facilities are luxurious by prison standards, with air-conditioned/heated private rooms/bathrooms and sports facilities. Access to cellphones, computers, and television are allowed. Visitation rights and lawyers conferences are also allowed with prior approvals. Given all the realities of the arrest events up to the detention in the ICC facilities, PTVC did not and will not work. The more substantive reasons why PTVC will not work, is the gravity and the evidence of the human rights violations of Duterte. The charges are well documented and there are still living witnesses of the families of the victims, and even of the direct perpetrators like Lascañas and Matobato, who has and will testify against Duterte. On top of these, Duterte publicly admitted in many fora that he had ordered the EJKs and will take responsibility for them. Duterte’s aggressive character and verbal abuses doesn’t make him look like a victim. The Duterte defense strategists/tacticians have now downplayed the victim ploy/PTVC and shifted to the legality/propriety of the arrest with petitions to the Philippine Supreme Court and to the ICC. They have also mounted a massive public opinion propaganda campaign in social media on what he has done during his presidency. Social media is their main vehicle as the main media carries both the fake news and the validated news, and the BBM administration has been adept and quick in replying to all of the fake news and troll posts. There was already an initial hearing in the ICC last week to establish identity, physical and mental status of the accused, lay down trial procedures/schedules. The next hearing is on September this year to have enough time for the prosecution and defense teams to prepare. There is no way that the final outcome can be predicted, but as the proceedings will be internationally watched and seen, the judicial process and the fairness of the proceedings will be well appreciated. Truth and justice will prevail."
1,"PAMPAMILYA na ang galawan sa pulitika ng ating bansa. Pansariling kapakanan lamang at hindi ang pag-angat ng nakararami ang itinataguyod. Nakapanghihinayang ang talino ng ating mga kababayan na hindi nabibigyan ng puwang para makapagserbisyo sa bayan, dahil lamang sa kakapusan ng popularidad at budget. Mas ginugusto ng mga naghaharing pamilya sa pulitika ang makitang naghihirap ang naka­paligid sa kanila upang magmukha silang manunubos sa abang kalagayan ng kanilang nasasakupan. Unti-unting nilusaw ng pulitika ang pagiging malikhain ng isang Pilipino dahil pilit na ibi­nabaling ng mga pulitiko na sila lamang ang pag-asa ng taumbayan. Hindi nila ikinahihiya ang katotohanang ang lakas sa likod ng kanilang tagumpay ay binili lamang. Ang pagsasalin ng liderato sa kaanak ay epektibo sa lokal na pamahalaan lalo pa’t may patunay na umasenso ang pamayanan sa ilalim ng kanilang pamamahala, pero hindi naging patunay ito na epektibo silang maging senador o Presidente. May mga senador at kongresista tayong mga anak ng dating Presidente na kinulapol na ng isyu ng korapsiyon pero nananalo sa eleksyon. Nakasanayan na lang ng supporters nila na isiping nagbabawi lang ng ginastos sa eleksiyon ang idol nila. Nakakaparte naman daw sa ayuda. Utak bigas, noodles at delata? May ilang kumakandidato ngayong senador ang walang muwang sa pag-ugit ng batas o pruweba sa public service. Popularidad lamang sa showbiz ang puhunan na ang iba ay popular pa sa pagiging imoral. Komedya na talaga kapag nanalo pa sila. Iilan lamang ang katulad ni dating Quezon City Mayor at House Speaker Feliciano “SB” Belmonte Jr. Dahil sa kanya, umasenso ang QC na walang naiwang bahid ng katiwalian sa panunungkulan. Sayang na presidentiable si “SB”, di ba? Sa idaraos na candidates forum na may “debate”. Abangan natin kung sino ang senatoriables ang magmumukhang bulok na kamote!"
